run	imp	exit_code	ins_theta_1	ins_gamma_1	ins_e_1	del_theta_1	del_gamma_1	del_e_1	lnL	sim_ins_theta_1	sim_del_theta_1	sim_ins_gamma_1	sim_del_gamma_1	sim_ins_e_1	sim_del_e_1	model	rep
492	1	3	0.000485509375649284	-4.75036911465217	0.0235884237839064	0.00098605068620581	-15.3423088340359	0.0214246569677269	27286.9479942287	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep30
391	1	3	0.000507498877268333	-4.87835634178689	0.0246781668299562	0.000991042994064082	-14.6256190681318	0.0186054275447755	28344.654849113	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep31
88	1	3	0.000493635464756618	-4.84566227767785	0.0228627083100751	0.000985854636511007	-15.1119270721308	0.0159645404271188	27666.9497416964	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep32
225	1	3	0.00048049538054306	-5.05869227856738	0.0184997394420596	0.00098839134264519	-15.0746639107237	0.0219427612650985	27109.5344634486	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep33
216	1	3	0.000503489617562864	-5.1761622442122	0.0162629111097789	0.00102459026697428	-15.036219681617	0.0165674461258961	28490.1831961595	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep34
276	1	3	0.000483595624972731	-4.81809765751746	0.0201842187273196	0.000999908407758412	-14.7207902120783	0.0204543833235521	27894.1966100395	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep35
226	1	3	0.000488029995795288	-4.77552410452054	0.0243079726819694	0.00103793709119398	-15.3984686286116	0.0224279964222856	28249.424124716	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep36
54	1	3	0.000491308247787703	-4.81277673188004	0.0198089346149179	0.000993980300245955	-14.7567317107298	0.0220487515880498	27883.3504675897	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep37
357	1	3	0.000514604041855414	-5.14663398677788	0.0217463807278879	0.000992645215948573	-14.5258846655121	0.0204899740040077	28417.0509778862	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep38
379	1	3	0.000501265637153717	-4.71868406133729	0.0186579847178448	0.000994770725130086	-15.4032846735255	0.0171315744209903	28035.3552344102	0.0005	0.001	 -5	 -15	0.02	0.02	full	rep39
