run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
17	1	3	NA	NA	NA	NA	78371.0534951101	0.005	0.3	50	0.05	reduced	rep52
6	1	3	0.00483534558007076	0.327733623880776	34.1864276104053	0.0466225254325579	79301.2891290481	0.005	0.3	50	0.05	full	rep53
20	1	3	NA	NA	NA	NA	79253.8032212063	0.005	0.3	50	0.05	reduced	rep53
23	1	3	0.0049585209977582	0.300854489355918	47.6623579382116	0.0478941644246386	78776.9904564812	0.005	0.3	50	0.05	full	rep54
21	1	3	NA	NA	NA	NA	78726.7466418628	0.005	0.3	50	0.05	reduced	rep54
48	1	3	0.00517949580365009	0.271259704598558	77.0524410043505	0.0485076160558243	78444.1605465608	0.005	0.3	50	0.05	full	rep55
48	1	3	NA	NA	NA	NA	78379.9785083722	0.005	0.3	50	0.05	reduced	rep55
14	1	3	0.00483654006783247	0.36052067568573	29.6434802279315	0.0541592315253523	78545.6276771561	0.005	0.3	50	0.05	full	rep56
34	1	3	NA	NA	NA	NA	78505.0393319215	0.005	0.3	50	0.05	reduced	rep56
14	1	3	0.00483014404190516	0.291020115964429	44.5818526963968	0.0493262379509487	78541.7896507739	0.005	0.3	50	0.05	full	rep57
16	1	3	NA	NA	NA	NA	78497.0167783316	0.005	0.3	50	0.05	reduced	rep57
46	1	3	0.00502641783470885	0.323683291527542	40.6067709723686	0.0468302178465896	80335.3653761067	0.005	0.3	50	0.05	full	rep58
3	1	3	NA	NA	NA	NA	80284.8419426989	0.005	0.3	50	0.05	reduced	rep58
8	1	3	0.00495081315896687	0.324876713927253	40.8208554636428	0.0478376347511219	78670.4062667896	0.005	0.3	50	0.05	full	rep59
48	1	3	NA	NA	NA	NA	78619.6533443866	0.005	0.3	50	0.05	reduced	rep59
49	1	3	0.00485791880515791	0.338078894439686	34.0079680844311	0.0464949520600643	78827.8077091723	0.005	0.3	50	0.05	full	rep60
49	1	3	NA	NA	NA	NA	78773.4007711892	0.005	0.3	50	0.05	reduced	rep60
36	1	3	0.00620027029960629	0.210975654619135	342.537569312624	0.053963461681839	80330.087827519	0.005	0.3	50	0.05	full	rep61
4	1	3	NA	NA	NA	NA	80281.6270937392	0.005	0.3	50	0.05	reduced	rep61
46	1	3	0.00526314159941941	0.271098222558803	82.5762202744394	0.0502704369372873	78738.6655718986	0.005	0.3	50	0.05	full	rep62
13	1	3	NA	NA	NA	NA	78663.8728526595	0.005	0.3	50	0.05	reduced	rep62
30	1	3	0.0051778593389352	0.279930988750848	64.2154107735547	0.0542441469711095	80158.025680806	0.005	0.3	50	0.05	full	rep63
43	1	3	NA	NA	NA	NA	80099.1307598156	0.005	0.3	50	0.05	reduced	rep63
20	1	3	0.00573670676567825	0.208288991319321	271.171624170857	0.0513319328886346	78285.4486330459	0.005	0.3	50	0.05	full	rep64
25	1	3	NA	NA	NA	NA	78238.8822788256	0.005	0.3	50	0.05	reduced	rep64
44	1	3	0.00514987461080198	0.26159449335307	78.7623090577261	0.0486852336423544	78936.5456279966	0.005	0.3	50	0.05	full	rep65
45	1	3	NA	NA	NA	NA	78871.4715424069	0.005	0.3	50	0.05	reduced	rep65
26	1	3	0.00488980955842777	0.356376263652775	30.8381547163968	0.0547702889811389	79209.4412196288	0.005	0.3	50	0.05	full	rep66
43	1	3	NA	NA	NA	NA	79163.2850522999	0.005	0.3	50	0.05	reduced	rep66
8	1	3	0.00495103361362539	0.301616661608434	48.8232242304702	0.0492943359436369	78103.1458119984	0.005	0.3	50	0.05	full	rep67
22	1	3	NA	NA	NA	NA	78056.1732269502	0.005	0.3	50	0.05	reduced	rep67
29	1	3	0.00498841242622667	0.312162740733406	45.9631971428578	0.0492943547253905	78634.4167239608	0.005	0.3	50	0.05	full	rep68
33	1	3	NA	NA	NA	NA	78586.3980343541	0.005	0.3	50	0.05	reduced	rep68
49	1	3	0.00462937901705525	0.3588037206993	23.3532199350654	0.0467532211719954	78935.8731611014	0.005	0.3	50	0.05	full	rep69
35	1	3	NA	NA	NA	NA	78904.5214028594	0.005	0.3	50	0.05	reduced	rep69
47	1	3	0.00486482086375268	0.327876567301939	37.3095769165079	0.0509713239953591	78240.5864116206	0.005	0.3	50	0.05	full	rep70
21	1	3	NA	NA	NA	NA	78199.4039159745	0.005	0.3	50	0.05	reduced	rep70
41	1	3	0.00503137113861867	0.262006872224246	68.9498706253149	0.0458200951472105	78968.4493111405	0.005	0.3	50	0.05	full	rep71
