run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
47	3	3	3445.23922196851	-13.86587199218	0	10000	-235.48729887872	0	26021.5732028602	5000	1000	 -25	 -10	0.0	0.0
30	3	3	1415.30778831865	-11.8755879417249	0	4389.62321567921	-23.5427720020997	0	27653.9933820323	5000	1000	 -25	 -10	0.0	0.0
38	3	3	394.40179012085	-8.71131629350208	6.66133814775094e-18	5476.77464164477	-21.738685724657	4.88498130835069e-17	27291.5844261347	5000	1000	 -25	 -10	0.0	0.0
78	3	3	2020.90652882579	-12.0565862990653	5.83977310952832e-16	3904.62884829611	-31.1708057676666	5.55111512312578e-16	26190.395350897	5000	1000	 -25	 -10	0.0	0.0
61	3	3	4108.25515905413	-29.2268233911991	0	1821.51311735421	-11.2921380039644	0.000398005157366099	26829.4875096163	5000	1000	 -25	 -10	0.0	0.0
23	3	3	4278.51024881366	-29.7186177860389	2.04281036531029e-16	1803.07220627303	-11.5385311379673	1.19459997449667e-15	26997.6478340044	5000	1000	 -25	 -10	0.0	0.0
48	2	3	4971.42875444137	-30.2126958588009	0	1229.42462347677	-10.0052862657087	0	25937.2893155067	5000	1000	 -25	 -10	0.0	0.0
32	2	3	603.052055389826	-8.259020912932	2.53130849614536e-16	5727.52313355483	-24.6697103222596	1.22124532708767e-15	28047.6810752864	5000	1000	 -25	 -10	0.0	0.0
67	2	3	1025.80354041046	-9.51732499027113	0	5219.10028520398	-26.4998724156953	0	27645.1885266684	5000	1000	 -25	 -10	0.0	0.0
63	3	3	4852.73058117659	-20.2696788210911	5.32263122465793e-14	596.875631422348	-10.0830553710095	2.22044604925031e-18	26764.8909451869	5000	1000	 -25	 -10	0.0	0.0
52	3	3	4875.21135443272	-24.4967103730839	4.81836792687318e-16	952.819071270222	-9.36579013546019	5.83089132533132e-15	26855.8956301599	5000	1000	 -25	 -10	0.0	0.0
65	3	3	4852.14832306469	-33.1250985125003	6.81454892514921e-15	1630.48723979447	-10.3728964486505	0.000379398916438705	27190.8349626624	5000	1000	 -25	 -10	0.0	0.0
75	3	3	4633.9668708518	-28.6631211296517	1.66533453693773e-16	1500.46139607919	-10.936921882127	7.54951656745107e-17	26996.7903776705	5000	1000	 -25	 -10	0.0	0.0
64	3	3	251.121373734786	-7.35231116525187	4.68736160996741e-15	5808.66143967046	-22.3924762617155	3.16191517413245e-15	27280.3408451147	5000	1000	 -25	 -10	0.0	0.0
14	3	3	4534.35902995086	-148.503750081224	4.52970994047064e-16	4188.28914284767	-15.3075407732469	2.89990254032091e-15	27452.0736459945	5000	1000	 -25	 -10	0.0	0.0
30	3	3	1560.28139692908	-34.8398742165604	3.31157323785192e-14	4114.4643601323	-16.0139530337198	1.60154112194277e-13	27238.2179720416	5000	1000	 -25	 -10	0.0	0.0
29	3	3	509.032036178547	-7.71177630730535	1.77635683940025e-17	5559.75576227719	-23.9660756605399	1.19237952844742e-15	27110.6620377728	5000	1000	 -25	 -10	0.0	0.0
95	3	3	1066.8456022933	-10.2303121182884	1.31006316905768e-16	4831.71853385068	-24.5924751625286	3.30846461338297e-16	27139.1002003896	5000	1000	 -25	 -10	0.0	0.0
70	3	3	2388.24853206804	-12.584679183086	7.105427357601e-17	4337.62279203615	-39.3282177772918	5.55111512312578e-17	27346.380069283	5000	1000	 -25	 -10	0.0	0.0
80	3	3	4011.55757212807	-37.1543388773263	6.21724893790088e-17	2356.88760790374	-11.9383067923199	5.32907051820075e-17	27207.9898206188	5000	1000	 -25	 -10	0.0	0.0
78	3	3	3040.05151092696	-13.0832159248027	4.13002965160558e-16	3429.86383807021	-47.1224286073985	1.73194791841524e-16	27097.8716094525	5000	1000	 -25	 -10	0.0	0.0
32	2	3	751.676340768782	-9.07362845113652	9.10382880192628e-17	5331.88312486449	-24.0219524525469	3.61932706027801e-16	27727.5476993141	5000	1000	 -25	 -10	0.0	0.0
8	3	3	5033.78301074204	-24.3415199546892	0.000298291592335276	878.549258322575	-9.75575400482373	0	26891.5265260543	5000	1000	 -25	 -10	0.0	0.0
89	3	3	4255.31257642281	-33.6781576850648	6.71462885293295e-15	2077.57010101617	-12.6330152293618	6.21724893790088e-17	26592.5214217804	5000	1000	 -25	 -10	0.0	0.0
72	3	3	2658.43165169234	-12.9184407302991	0	3998.98554499493	-42.7585674846948	0	27056.1615317596	5000	1000	 -25	 -10	0.0	0.0
88	1	3	5343.49815938511	-20.2907932633541	0	268.472975971645	-6.65008690970147	0	27156.5365891208	5000	1000	 -25	 -10	0.0	0.0
90	2	3	1671.09266844291	-10.8372012084264	1.77635683940025e-17	5033.13937068194	-32.8021649337772	6.66133814775094e-18	28018.3490913864	5000	1000	 -25	 -10	0.0	0.0
80	1	3	1349.55484842313	-10.8783705044601	0	4792.75079151447	-27.1928072571605	0	27303.287565651	5000	1000	 -25	 -10	0.0	0.0
82	1	3	5114.99102881179	-28.9080333490587	7.54951656745106e-16	1270.30779826609	-10.0535360379959	0	27526.7414272733	5000	1000	 -25	 -10	0.0	0.0
90	3	3	4729.85545511532	-27.7999544952271	8.54871728961371e-16	1525.95299965235	-11.3418326300062	5.24025267623074e-16	27807.3650498993	5000	1000	 -25	 -10	0.0	0.0
37	3	3	5793.67240735238	-25.3870504965775	1.57651669496772e-16	514.560906306494	-8.57892819781037	2.88657986402541e-17	26886.4490269469	5000	1000	 -25	 -10	0.0	0.0
5	3	3	171.614795240421	-6.01446443976072	8.21565038222616e-17	5491.30608449096	-19.9848036130018	1.68753899743024e-15	27350.3579196953	5000	1000	 -25	 -10	0.0	0.0
41	3	3	1287.7781394962	-11.6708621773967	0.000414452663934439	4632.98052318518	-24.9898223439856	4.44089209850063e-18	27006.1875827448	5000	1000	 -25	 -10	0.0	0.0
89	3	3	10000	-32.4388087192377	0	4091.64215121257	-10.287685010175	0	69929.5757532129	10000	3000	 -25	 -10	0.0	0.0
