run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
37	3	3	1925.04440830301	36.6220579290545	0	10296.0320499478	-6.64841599663481	0	212562.553814739	10000	3000	 -5	0	0	0
54	3	3	11950.5416343612	-2.93375734198869	0	16503.1646525239	-500	0	214191.094322154	10000	3000	 -5	0	0	0
58	1	3	11904.9410281744	-2.95526598183863	0	2667.99028938068	-84.688861425048	0	211902.878502705	10000	3000	 -5	0	0	0
78	3	3	9839.11170100416	-7.26487287375527	0	2095.16327349056	81.6588465941406	0	213297.73667453	10000	3000	 -5	0	0	0
52	3	3	3376.77347505843	-226.482542887465	0	12567.840997883	-3.2181372795286	0	214429.620289695	10000	3000	 -5	0	0	0
29	3	3	9914.68406155599	-6.35443581939346	0	1944.16345588438	48.5741608804725	0	213584.590063106	10000	3000	 -5	0	0	0
7	4	3	7052.71131526625	-500	0	12473.2589893817	-3.13209156038931	0	215040.787981362	10000	3000	 -5	0	0	0
66	3	3	10849.452750014	-6.86678762434023	0	1976.92223857517	19.6746834679171	0	215090.361144637	10000	3000	 -5	0	0	0
77	3	3	10708.6026764236	-500	0	12406.8216724081	-3.18418395278953	0	213549.291355675	10000	3000	 -5	0	0	0
100	3	3	9801.06637427787	-7.22148718555468	0	2104.2151610501	100	0	214502.500739784	10000	3000	 -5	0	0	0
38	4	3	12192.5672047006	-3.08074073671981	0	2383.21042973133	-98.2835340071964	0	212675.148650748	10000	3000	 -5	0	0	0
63	2	3	1914.28311501805	100	0	9978.02459857004	-6.45245425536962	0	214587.965845752	10000	3000	 -5	0	0	0
66	3	3	10501.5638852385	-6.92012991064167	0	2004.68171422036	19.6444154042037	0	211291.72923175	10000	3000	 -5	0	0	0
2	3	3	10136.070798568	-5.77649352783325	0	1724.05806709382	69.559473337027	0	213691.387664012	10000	3000	 -5	0	0	0
7	3	3	1918.3437202387	100	0	9959.37326925652	-6.39047020171892	0	215300.597955757	10000	3000	 -5	0	0	0
56	4	3	11986.3207794002	-2.95716854697084	0	13190.5311821125	-500	0	212977.053598218	10000	3000	 -5	0	0	0
98	3	3	10172.594582076	-6.29425192618227	0	1860.19079829959	43.82547461484	0	212750.653894511	10000	3000	 -5	0	0	0
51	3	3	1969.39017558535	-66.2287822323078	0	11958.3906080091	-2.9342617012804	0	213141.150623302	10000	3000	 -5	0	0	0
14	2	3	10012.2672253024	-7.05940406512388	0	2052.67975955014	63.5402018291399	0	214237.615887622	10000	3000	 -5	0	0	0
51	3	3	1657.56896768262	-76.9373198680419	0	12278.9487846691	-3.08339116166543	0	213725.611957828	10000	3000	 -5	0	0	0
59	3	3	11053.1762834066	-8.16876404191763	0	2216.2117389278	19.0940577636593	0	215628.011421187	10000	3000	 -5	0	0	0
10	3	3	5320.58373469643	-229.579566534648	0	12361.5955955265	-3.07670186971277	0	216118.879099994	10000	3000	 -5	0	0	0
36	3	3	1860.76706019535	14.2557029918279	0	11106.6271326487	-6.48086013461999	0	214270.76650796	10000	3000	 -5	0	0	0
97	3	3	11018.6694316382	-6.75495303638826	0	1913.41770819883	19.6850551184463	0	215447.73116603	10000	3000	 -5	0	0	0
44	3	3	7095.20148660718	-396.859692507304	0	12379.206598056	-3.08465070197723	0	215321.538468894	10000	3000	 -5	0	0	0
34	3	3	1363.79158955722	41.9605571638605	0	10931.0739840791	-5.06819278598835	0	214848.831283076	10000	3000	 -5	0	0	0
85	3	3	2169.11097676476	22.6843803296895	0	10816.7183322557	-7.92961584703821	0	214466.632854042	10000	3000	 -5	0	0	0
61	3	3	3509.55916576105	-108.169809569861	0	12067.9388819676	-3.01488035056809	0	213652.936977704	10000	3000	 -5	0	0	0
10	3	3	4700.003119789	-1.51945075861598	0	8240.11987802542	-4.631005616882	0	217159.450345552	10000	3000	 -5	0	0	0
43	3	3	12301.4828040557	-3.40799942918557	0	281.614149343979	18.9674295849666	0	215589.072271938	10000	3000	 -5	0	0	0
94	3	3	12579.5465605962	-3.12530269952466	0	2152.54804448086	-189.618391309675	0	216728.252967912	10000	3000	 -5	0	0	0
63	3	3	2061.05907437278	16.6076110785161	0	10540.3879749571	-7.0019072991396	0	212034.326672363	10000	3000	 -5	0	0	0
56	3	3	9951.05378470427	-2.33591877798558	0	3507.93178166583	-13.5799323357121	0	214367.294527407	10000	3000	 -5	0	0	0
64	3	3	1999.42246288965	56.4833200278079	0	10422.6505311591	-6.89728601290208	0	217874.860589678	10000	3000	 -5	0	0	0
56	4	3	8657.61958389785	-2.09932832729898	0	4820.29378817676	-9.44460436987323	0	214760.856203776	10000	3000	 -5	0	0	0
77	4	3	12194.780582719	-3.01736564321968	0	5416.36912905654	-452.768386488809	0	212635.221314248	10000	3000	 -5	0	0	0
82	4	3	11717.0162488974	-2.89279774524864	0	1659.64183870889	-22.4245569765391	0	214713.013093743	10000	3000	 -5	0	0	0
85	4	3	1221.47231649412	-35.9377107957792	0	11911.6286351846	-2.88818512868292	0	213812.659792774	10000	3000	 -5	0	0	0
14	3	3	3047.05804440041	-23.5316516238519	0	10903.7786341025	-2.68929480381668	0	211920.946315611	10000	3000	 -5	0	0	0
93	3	3	10453.5902067497	-4.89164235489587	0	1408.29008011373	47.0228513427325	0	213252.604022701	10000	3000	 -5	0	0	0
56	4	3	11445.9543353636	-2.87699021772376	0	2228.50562384347	-21.8577653324929	0	213473.734469888	10000	3000	 -5	0	0	0
98	4	3	11444.3859503718	-2.7820202761513	0	2175.76256239477	-22.2339846415088	0	215729.40492345	10000	3000	 -5	0	0	0
59	3	3	11234.1201149078	-5.62945173993837	0	1627.58643613122	10.0396060979176	0	213333.354751601	10000	3000	 -5	0	0	0
44	3	3	2026.61456757564	-426.338079185883	0	12184.6007185812	-3.02943819084947	0	210763.100256199	10000	3000	 -5	0	0	0
