run	imp	exit_code	data_1_theta_1	data_1_gamma_1	data_1_e_1	data_1_theta_2	data_1_gamma_2	data_1_e_2	lnL	sim_theta_1	sim_theta_2	sim_gamma_1	sim_gamma_2	sim_e_1	sim_e_2
4	4	3	2780.40377791705	-0.36656245007073	0.00721773990896184	4726.66633530577	-9.96560764811593	0	97693.2033209878	5000	2500	 -10	0	0	0
76	4	3	2451.45272189803	0.133217081577344	0.000766421457763598	4986.90552627223	-9.77668612003814	0	96264.8417642539	5000	2500	 -10	0	0	0
30	3	3	4774.05015954372	-10.4125685798099	8.92328081147964e-05	2672.83156401426	-0.168463299906215	0	95871.0743491935	5000	2500	 -10	0	0	0
88	4	3	5421.3081891005	-11.5132595503839	1.11022302462516e-17	2591.6192227708	-0.0896286372489952	1.99840144432528e-17	97410.7627720811	5000	2500	 -10	0	0	0
44	2	3	1594.22325728058	1.1780890246565	2.18935980456081e-15	5649.14483895076	-7.32928472865578	0	95502.1885131049	5000	2500	 -10	0	0	0
51	2	3	4878.58188806947	-11.0769371002258	0	2706.77568659987	-0.185745080288018	0	95827.5485620959	5000	2500	 -10	0	0	0
78	3	3	2240.19300748335	0.286112753626759	0	5382.37426026174	-9.35662474486787	0	97127.3822115248	5000	2500	 -10	0	0	0
56	3	3	2926.72118458574	-0.443107730277321	0	4755.62087033831	-11.8592899220522	0	96255.1041245905	5000	2500	 -10	0	0	0
56	2	3	2274.77541865458	0.302438543517726	4.44089209850063e-18	4840.59643118387	-8.66988934458037	0	94920.0977458861	5000	2500	 -10	0	0	0
55	3	3	5282.95039006905	-11.3644127614211	0	2539.3858710882	-0.0827805778891594	2.22044604925031e-18	95309.3337489143	5000	2500	 -10	0	0	0
72	3	3	4463.2807894557	-9.8652261755609	0	2824.69785479819	-0.529126986414338	0.00629615764255012	95255.8546834948	5000	2500	 -10	0	0	0
80	3	3	4122.27101145526	-10.8801030970788	0	3144.05246389846	-0.769601715049618	0.0105904826396225	94988.0011436115	5000	2500	 -10	0	0	0
31	2	3	2270.00405906639	0.243904227811597	0	5148.77141304802	-8.65400899215754	4.44089209850063e-18	97751.1537464321	5000	2500	 -10	0	0	0
16	3	3	2397.30455657252	0.270790371652204	0	5065.17334437605	-9.57961983164531	0	97159.5591258135	5000	2500	 -10	0	0	0
38	3	3	2672.42852792933	-0.267597266736711	0.00922444808062655	4667.29372936941	-9.86182368757243	0	95490.5517304185	5000	2500	 -10	0	0	0
92	2	3	3107.11616897809	-0.641360118591634	0.00601966923430941	4357.38966670769	-11.700105051537	0	95665.0966767893	5000	2500	 -10	0	0	0
11	4	3	2492.72546604659	-0.145262693832542	0.0086106602484775	4885.38354891129	-9.2337932626856	0	96019.0378231507	5000	2500	 -10	0	0	0
36	3	3	4671.39189948754	-12.7114249455826	0.00156926528379085	2947.60058233601	-0.445352786382291	0	94209.4836804513	5000	2500	 -10	0	0	0
65	1	3	2858.75386756274	-0.489118177189521	0	5055.73578853379	-11.9713550868764	0.00161201490820519	96594.1756814335	5000	2500	 -10	0	0	0
92	2	3	2148.03693574009	0.327668437519142	0	5319.61050827147	-9.2804412130377	8.88178419700125e-18	94603.4754374667	5000	2500	 -10	0	0	0
13	3	3	4404.14777348961	-12.7873575974107	5.55111512312578e-17	3235.82331530458	-0.753930623294703	0	96065.7956408228	5000	2500	 -10	0	0	0
98	3	3	2321.17207041534	0.21501390978337	0	5071.80379384383	-9.31260910229106	1.77635683940025e-17	95779.5044998588	5000	2500	 -10	0	0	0
90	3	3	2458.39181463036	0.0684834525003724	0	5063.17186176792	-9.73133421340902	8.88178419700125e-18	96904.9330316451	5000	2500	 -10	0	0	0
61	3	3	3058.8688760544	-0.517638800276055	0.00317929214081223	4302.5093975664	-12.2764481396214	0	93989.0640219592	5000	2500	 -10	0	0	0
20	3	3	5233.96679681887	-11.1750080942206	4.44089209850063e-18	2504.87252744381	0.0786717791359825	0	95611.4103640076	5000	2500	 -10	0	0	0
34	2	3	2466.86719299616	0.121040069663767	0	5046.33363175042	-9.6514851370025	0	97554.8603261981	5000	2500	 -10	0	0	0
88	4	3	4871.16270098796	-11.0594515044109	0	2717.19573915469	-0.207465448150662	0	95886.0723797893	5000	2500	 -10	0	0	0
63	3	3	4932.28423762942	-9.95522095592184	0.00206510513354484	2502.64683420563	0.154758579797736	0	96619.767250216	5000	2500	 -10	0	0	0
55	3	3	5074.1126608776	-9.08657767556811	0.00217252843729476	2230.674511402	0.367415219423199	0	95106.1743648573	5000	2500	 -10	0	0	0
39	3	3	4853.44408402472	-9.34165714774517	0	2418.8503403132	0.124887246339093	0	95406.9310570006	5000	2500	 -10	0	0	0
8	3	3	4979.96421986377	-10.4047937439396	0.00257161459298924	2562.96368754825	-0.158778152289177	0	95149.3892808744	5000	2500	 -10	0	0	0
88	3	3	5143.06245975561	-10.3605994376186	0	2537.9985488431	-0.0900022441241122	0.00805365032940077	96593.0485582584	5000	2500	 -10	0	0	0
6	2	3	5099.79277512054	-8.23707932902615	0	2181.95302638776	0.116072592997415	0.00617780791480164	95728.6366566338	5000	2500	 -10	0	0	0
52	2	3	2782.70274650987	-0.468889322565418	0.0154147661689995	4867.72189119861	-10.2424170196134	0	97406.8539791696	5000	2500	 -10	0	0	0
87	3	3	2372.50358862319	0.17366974630221	2.22044604925031e-18	5228.59937191935	-9.73535155947707	0.00322173718467949	96954.9624799354	5000	2500	 -10	0	0	0
60	3	3	4872.50607422884	-10.0388531680691	0	2551.47171246791	0.0290247171191034	0.00567758705975272	96121.3356321524	5000	2500	 -10	0	0	0
