run	imp	exit_code	theta_1	gamma_1	e_1	theta_2	gamma_2	e_2	theta_3	gamma_3	e_3	lnL	sim_theta_1	sim_gamma_1	sim_e_1	sim_theta_2	sim_gamma_2	sim_e_2	sim_theta_3	sim_gamma_3	sim_e_3	model	rep
9937	1	3	0.004895433226992	-10.8473532191117	0.0223933081045687	0.00475709363755707	-1.56188662044839	0.0311623148333935	NA	NA	NA	459032.609208495	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep48
8735	1	3	0.000553389081530451	5.9990280231258	1.22940134543215e-05	0.00222946236442954	-28.0367086563424	0.0777137558319635	0.00717224502541743	-3.9228765578437	0.0125203778399442	461078.703430872	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep59
9289	1	3	0.00516427260547918	-1.86235037699987	0.0470948169580485	0.00452844631554323	-11.2052388510599	0	NA	NA	NA	461069.786873285	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep59
4076	1	3	0.000542075290637705	3.16726680463315	0.340373303184513	0.00691512919562014	-3.60313009365383	0.00347071238413353	0.00251699526750376	-24.1828698312972	0.0148585604652034	461754.266638369	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep61
7211	1	3	0.00401468171821779	-13.7479438736856	0	0.00580843433719198	-2.15406181544562	0.0434116915896122	NA	NA	NA	461750.113310836	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep61
9863	1	3	0.00579469767898927	-5.23542817596434	0	0.00185354312069103	-38.0737995243881	0	0.00243869161569224	-0.443737022621642	0.0946211808875878	463131.776873443	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep64
3780	1	3	0.00545872112078693	-1.89417959209107	0.0446048787399495	0.00432252324323502	-12.6775970139511	0	NA	NA	NA	463124.412528245	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep64
5230	1	3	0.000740646716876329	2.54254164831577	0.201165126350584	0.00218520615402217	-29.4572773492431	0.0443784372545497	0.00702574704041462	-3.96103156427494	0.00278867363687046	459275.2070923	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep70
3342	1	3	0.00384212157343774	-13.7995404324882	0	0.00589049532478401	-2.19012444699685	0.0426339055838568	NA	NA	NA	459269.994909295	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep70
9406	1	3	0.00550794161421015	-2.03135358293645	0.0437985049342046	0.0042815057381012	-12.5635997265655	0	0.000496307587338335	-319.410146628834	0.133697089105884	464154.459064132	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep77
1911	1	3	0.00419503711589954	-13.6248129857779	0	0.00571883969136893	-2.12803294553469	0.0438505265421056	NA	NA	NA	464153.872859132	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep77
9996	1	3	0.00196827807257143	-30.6694067681366	0	0.0014508962391279	0.440374782740429	0.154557302900583	0.0065272900955845	-4.50756809857378	0	459412.119092571	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep87
2901	1	3	0.00452730029290071	-11.6241304225666	2.22044604925031e-18	0.00517206398368768	-1.85059657543654	0.0460124161403198	NA	NA	NA	459405.260468865	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep87
1945	1	3	0.00519751757574097	-1.90035731334979	0.0420217600654866	0.00388222475692034	-10.49391735421	0	0.0011046555025655	-50.7312177643125	0.0423331736610279	462052.807490977	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	full	rep91
4065	1	3	0.00411618854739599	-15.1500899154064	0.00511098023626668	0.0058456375004203	-2.16611502509682	0.0390081229504547	NA	NA	NA	462051.029615592	0.002	0	0.05	0.006	-5	0.02	0.002	-30	0.01	reduced	rep91
