run	imp	exit_code	theta	shape	scale	e	lnL	sim_theta	sim_shape	sim_scale	sim_e	model	rep
38	1	3	0.00490483917253024	0.287645025098172	49.1578861428147	0.0496915805638759	176955.311965923	0.005	0.3	50	0.05	full	rep46
2	1	3	NA	NA	NA	NA	176842.684013729	0.005	0.3	50	0.05	reduced	rep46
8	1	3	0.00519220044557531	0.28519832012637	67.8811375577302	0.0491560145309849	177167.970852792	0.005	0.3	50	0.05	full	rep47
13	1	3	NA	NA	NA	NA	177041.59368075	0.005	0.3	50	0.05	reduced	rep47
12	1	3	0.00510853492356828	0.290855928478533	59.6763427257595	0.0495581278686661	177108.710149437	0.005	0.3	50	0.05	full	rep48
50	1	3	NA	NA	NA	NA	176985.758313896	0.005	0.3	50	0.05	reduced	rep48
27	1	3	0.00496576432135518	0.302104212437619	46.4373768094263	0.0461187072512909	178050.336930683	0.005	0.3	50	0.05	full	rep49
28	1	3	NA	NA	NA	NA	177948.457964103	0.005	0.3	50	0.05	reduced	rep49
40	1	3	0.00481153145386304	0.298335085497363	42.7496439743313	0.0522246165493003	175308.929971198	0.005	0.3	50	0.05	full	rep50
48	1	3	NA	NA	NA	NA	175222.109968412	0.005	0.3	50	0.05	reduced	rep50
15	1	3	0.0049901830945801	0.286514467383749	53.6354830128211	0.0465221678442196	177733.954708083	0.005	0.3	50	0.05	full	rep51
14	1	3	NA	NA	NA	NA	177628.158534664	0.005	0.3	50	0.05	reduced	rep51
45	1	3	0.00507502762465758	0.29217738119167	60.8408706763257	0.0486511830543027	174702.212580546	0.005	0.3	50	0.05	full	rep52
25	1	3	NA	NA	NA	NA	174588.776905102	0.005	0.3	50	0.05	reduced	rep52
5	1	3	0.00518504971231327	0.280600911555296	68.5178091283638	0.052970001415581	177727.18212264	0.005	0.3	50	0.05	full	rep53
36	1	3	NA	NA	NA	NA	177604.90071733	0.005	0.3	50	0.05	reduced	rep53
42	1	3	0.00512519211748292	0.281012599728922	65.1154673940038	0.047869957887646	177428.023990965	0.005	0.3	50	0.05	full	rep54
37	1	3	NA	NA	NA	NA	177315.207590776	0.005	0.3	50	0.05	reduced	rep54
19	1	3	0.00490813703305061	0.292149882546254	47.5831579813708	0.0526619236801175	176951.387778457	0.005	0.3	50	0.05	full	rep55
49	1	3	NA	NA	NA	NA	176858.126561356	0.005	0.3	50	0.05	reduced	rep55
6	1	3	0.0058717128729487	0.226727944226038	230.342298841971	0.0538028524459088	177767.177418058	0.005	0.3	50	0.05	full	rep56
29	1	3	NA	NA	NA	NA	177660.39304469	0.005	0.3	50	0.05	reduced	rep56
26	1	3	0.00484411984984464	0.313844358901787	39.9285538418397	0.054420247240193	175368.861069489	0.005	0.3	50	0.05	full	rep57
43	1	3	NA	NA	NA	NA	175279.990160359	0.005	0.3	50	0.05	reduced	rep57
31	1	3	0.00509779279934602	0.292978786959523	57.300746314323	0.048993097030091	177672.080349515	0.005	0.3	50	0.05	full	rep58
10	1	3	NA	NA	NA	NA	177557.811783383	0.005	0.3	50	0.05	reduced	rep58
41	1	3	0.00502245951114241	0.307399821091423	46.990733483305	0.0482413450023936	178452.150099186	0.005	0.3	50	0.05	full	rep59
8	1	3	NA	NA	NA	NA	178348.837829795	0.005	0.3	50	0.05	reduced	rep59
40	1	3	0.00502158896957022	0.266469918876581	67.6470913683026	0.0471626230999723	176252.622267442	0.005	0.3	50	0.05	full	rep60
35	1	3	NA	NA	NA	NA	176147.502084789	0.005	0.3	50	0.05	reduced	rep60
17	1	3	0.00510875951620813	0.290597301091129	60.7046196990444	0.0492908170076765	176553.444152883	0.005	0.3	50	0.05	full	rep61
38	1	3	NA	NA	NA	NA	176446.588844188	0.005	0.3	50	0.05	reduced	rep61
31	1	3	0.00517579557551854	0.285368266175279	64.5515871197336	0.050613828445823	178345.502655321	0.005	0.3	50	0.05	full	rep62
39	1	3	NA	NA	NA	NA	178223.140335961	0.005	0.3	50	0.05	reduced	rep62
