run	imp	exit_code	ins_theta	ins_shape	ins_scale	ins_e	del_theta	del_shape	del_scale	del_e	lnL	sim_ins_theta	sim_del_theta	sim_ins_shape	sim_del_shape	sim_ins_scale	sim_del_scale	sim_ins_e	sim_del_e	model	rep
31	1	3	0.00050441487024092	0.590216630690675	7.15526076071145	0.0822907848025054	0.00112043703066068	0.185461532649575	231.540308140369	0.0389929668184731	41870.8563866468	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep15
190	1	3	0.000511036087315396	0.594779946290263	8.57126786067095	0.089153945435228	0.00103778992538677	0.282213551176252	53.7432112397269	0.0377914927705253	41223.8317709767	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep16
126	1	3	0.000633878710827789	0.158824581407692	434.896444142524	0.0860402573762274	0.000888997965815247	0.325367361100946	15.8846558083184	0.037985120548244	41292.405226171	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep17
170	1	3	0.000500974231231602	0.627968971416892	6.78136484874651	0.0748276923369671	0.00112097473835861	0.190158720540549	214.700872637518	0.0397055228438135	41733.6328861945	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep18
129	1	3	0.000526327162654168	0.498947983445619	11.9683932105828	0.0904808907266798	0.00104433429900182	0.219245714137441	107.31739379594	0.0427182031097004	40974.8188704487	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep19
89	1	3	0.000474567434174122	0.416873483149222	10.8308947030409	0.0959236347983643	0.001101307233442	0.15430720475645	391.459032429097	0.040028327215938	40325.9198757486	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep20
151	1	3	0.00059677556836622	0.103352038902297	822.080728652488	0.081419173762525	0.000973501601354112	0.279348595505216	33.0169969465695	0.0389821572596505	42306.2891848821	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep21
188	1	3	0.000614848315956323	0.157887811983596	412.156282933786	0.0812216051493806	0.00103611092592645	0.236092004959395	67.3856279524232	0.0362731046892387	41879.0739729083	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep22
128	1	3	0.000660714897644942	0.188438111157166	406.021885061351	0.0636058822520507	0.00102505036355736	0.209700332845659	86.0877227352364	0.0436422650148564	41391.9641213105	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep23
50	1	3	0.000542969972590502	0.257736522174431	52.0844873776663	0.0843605500739421	0.000906600524103513	0.302820898687214	21.363891576493	0.0316977665781047	40943.6708288815	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep24
2	1	3	0.000511636254203221	0.347376696806213	19.5137953494678	0.0720351801314677	0.00107877914482138	0.222636093502742	119.534330307511	0.0400941800460023	41151.7371368523	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep25
25	1	3	0.000513342400051666	0.432856640478467	15.2900590904922	0.0856678512739336	0.00104269500967161	0.254904789958686	57.8415028341321	0.040260797052352	41934.8827293346	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep26
126	1	3	0.000613883040369182	0.138562300886484	558.365926705245	0.0834430648211842	0.00099412399913104	0.272995318160636	41.635857789378	0.0416723293304547	41440.3206812197	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep27
14	1	3	0.000670778387726983	0.145635780330008	638.328625381839	0.0769318200319815	0.00104379543783316	0.291234732564232	44.6098773449808	0.0405938105279162	42667.1871108786	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep28
146	1	3	0.000494184050234226	0.341058067370372	15.6568439490169	0.0859225030393319	0.00110096139289496	0.236953440232573	111.15830419939	0.0408676310529049	41345.49971107	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep29
103	1	3	0.000510868250357474	0.358071320452595	18.9879985167783	0.0857360787847505	0.00111996664269765	0.216970894250426	145.131078508124	0.0427881338818206	41552.86883491	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep30
165	1	3	0.000488489338390347	0.878319037891588	3.72938210386273	0.0760049399240978	0.00103861559167186	0.206722412739613	104.576441931399	0.042662688737195	41720.1209731781	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep31
140	1	3	0.000505625875009042	0.490777848558102	10.4359139855928	0.0744117664052676	0.00100295417581048	0.236156723051374	54.3266640403817	0.0432861048905595	42108.168887467	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep32
108	1	3	0.000522843283278425	0.46371572698437	13.6436617503207	0.0733643356366642	0.00107161241439862	0.240157468179809	77.7934670174729	0.0393989404430116	42345.6668721486	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep33
24	1	3	0.000601083685489411	0.16840655681453	274.93462528051	0.102903632180274	0.00104718343060278	0.269800775399642	62.2963926918258	0.0422306953336336	41121.0130486044	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep34
11	1	3	0.00068451464640589	0.174013562877891	481.051177358945	0.0866578593168757	0.00103279648064941	0.219173879496669	80.8583533035943	0.0399659224698369	42097.5930765466	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep35
52	1	3	0.000458477559704137	0.37379120691222	11.3390570158137	0.0814968855946791	0.00104677652533583	0.259508928478033	59.6956273066489	0.0427251805332749	41173.2476672146	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep36
17	1	3	0.000537217766720653	0.327378807136823	30.2229195755188	0.08177908212034	0.000939682032389973	0.303211250334893	25.0282770030981	0.0433146784946322	41237.7816553491	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep37
144	1	3	0.000498784232577759	0.766585789806224	4.76404162430527	0.0799065332145272	0.000929905164124255	0.342809696132991	20.8031656994586	0.0394601123283811	41278.9273688393	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep38
185	1	3	0.000496171632812713	0.847381721189543	4.17462010828504	0.0811320941986697	0.00101341093210857	0.24008701651106	67.8384513910323	0.0458242536634867	41282.1735112384	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep39
59	1	3	0.000477127857201909	1.49327005942329	1.98550438976924	0.0780359834489774	0.00095385219966484	0.343547564608481	18.951471468706	0.0442184399549059	42108.5288500811	0.0005	0.001	0.5	0.25	10	50	0.08	0.04	full	rep40
